"Gbif_ID","Kingdom","Phylum","Class","Order","Family","Genus","Especies","Latitude","Longitude"
857442677,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.47754,-75.22765
974375413,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.076,-74.0447
935664525,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.229,-73.8061
935833553,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.88616,-73.4129
1065327731,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",7.98373,-75.19765
1060486572,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",7.49994,-73.76667
1204885381,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.0737,-74.0511
373652069,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.85686,-74.3314
657098581,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",7.83,-73.67
730242107,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.56,-74.79
978235913,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.26987,-74.5407
979512654,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.8625,-74.6639
942524296,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.2496,-74.7125
1195267286,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",4.2354,-74.5868
1190566342,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.2047,-73.3941
1178144410,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",4.5175,-74.5328
1150700526,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.2296,-73.4853
1159608671,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.1249,-74.1193
860894248,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",9.53417,-75.35222
830616260,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.1535,-74.0982
1133631223,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.21689,-73.44892
1203409572,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",4.33944,-74.5
1178381689,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",9.94633,-75.1108
1201078279,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.91351,-74.7285
1189082571,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.92432,-74.7815
1206904919,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",4.75118,-74.9324
724223798,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.36778,-75.04369
259592141,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.36957,-74.5691
1159621392,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.09079,-74.8652
1199211777,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",9.5696,-75.3144
1195792286,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.97802,-73.4479
949436494,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.93537,-73.4388
938029599,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.2287,-74.8627
1133631550,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.20186,-73.42194
1133633393,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",10.00594,-75.18169
961748067,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",4.34106,-74.6621
